id,text,rating,category,product_name,product_id,sold,shop_id,url
13,sayang produk datang paking kurang rapi sehingga kebuka isinya terhambur saran klo mengirimkan isi paku tembak seperti ini beri lakban dulu dikemasan pakunya baru gabung kan dgn lain supaya tidak tercecer untuk kualitas barang seperinya bagus walau saya belum coba terima kasih,3,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
26,thanksssssssssssssss,3,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun
59,pesanan sesuai dgn gambar,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
63,barang bagus kualitas sesuai harga,3,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
70,pengiriman dan respon super cepat tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor ,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
72,lah sesuai denggan harga ,3,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
95,barang dikirim tidak sesuai pesanan,1,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
105,barang sudah sampai terima kasih,3,pertukangan,Isi Staples Tembak 8 mm best guard,133507638,545,1461393,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard
117,php bilang isi ada diseskripsi pas dipesen berbeda mubajir rp50 000 ternyata isinya cocok,1,pertukangan,steples tembak / staples tembak kenmaster PROMO MURAH staple gun,88842566,45,1102298,https://www.tokopedia.com/cahayabelawa/steples-tembak-staples-tembak-kenmaster-promo-murah-staple-gun
127,fast respon barang sesuai dengan gambar,3,pertukangan,steples tembak / staples tembak kenmaster PROMO MURAH staple gun,88842566,45,1102298,https://www.tokopedia.com/cahayabelawa/steples-tembak-staples-tembak-kenmaster-promo-murah-staple-gun
145,barang oke terima kasih,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1
152,sesuai deskripsi lumayan lah buat pertama kali,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1
153,barang jelek copot terus tmpat taro isinya,2,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1
158,terima kasih seller barang baru sampai tapi kurang teliti mohon perbaiki supaya gak tertukar resinya dgn lain ,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1
183,packing bagus barang sesuai diskripsi,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1
188,beli staples gak jual isinya hanya sekali pake ckckck,1,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1
190,terimakasih barang sudah sampai,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1
197,barangnya kurang bagus atomnya gak masuk semua,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141,171,580197,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1
245,terima kasih paket sudah terima,3,pertukangan,STAPLES GUN TNI-U 903 / STEPLES TEMBAK,138300056,45,998837,https://www.tokopedia.com/housesparepart/staples-gun-tni-u-903-steples-tembak
255,sebaiknya kalau mau ngirim barang diperiksa dulu gan kondisi barangnya layak apa gak gitu loh isinya karatan semua ,1,pertukangan,Isi / Refill Staples / Stapler Tembak / Steples / Gun Tacker 10mm,55221811,67,452241,https://www.tokopedia.com/cgrtools/isi-refill-staples-stapler-tembak-steples-gun-tacker-10mm
258,pengiriman cepat packing aman isi staplesnya pada karatan semua beli box,3,pertukangan,Isi / Refill Staples / Stapler Tembak / Steples / Gun Tacker 10mm,55221811,67,452241,https://www.tokopedia.com/cgrtools/isi-refill-staples-stapler-tembak-steples-gun-tacker-10mm
267,isinya ada karat produk sesuai gambar,3,pertukangan,Isi / Refill Staples / Stapler Tembak / Steples / Gun Tacker 10mm,55221811,67,452241,https://www.tokopedia.com/cgrtools/isi-refill-staples-stapler-tembak-steples-gun-tacker-10mm
